case_id,phase_imbalance_pct,clearance_violations,thermal_violations,format_lint_errors,doc_lint_pass,doc_lint_quality_score,evidence_pairs,missing_pairs,overall_success
01,3.9,0,0,0,False,80,5,2,False
02,3.9,0,0,0,False,80,5,2,False
03,3.9,0,0,0,False,80,5,2,False
04,3.9,0,0,0,False,80,5,2,False
05,3.9,0,0,0,False,80,5,2,False
06,3.9,0,0,0,False,80,5,2,False
07,3.9,0,0,0,False,80,5,2,False
08,3.9,0,0,0,False,80,5,2,False
09,3.9,0,0,0,False,80,5,2,False
10,3.9,0,0,0,False,80,5,2,False
11,3.9,0,0,0,False,80,5,2,False
12,3.9,0,0,0,False,80,5,2,False
13,3.9,0,0,0,False,80,5,2,False
14,3.9,0,0,0,False,80,5,2,False
15,3.9,0,0,0,False,80,5,2,False
16,3.9,0,0,0,False,80,5,2,False
17,3.9,0,0,0,False,80,5,2,False
18,3.9,0,0,0,False,80,5,2,False
19,3.9,0,0,0,False,80,5,2,False
20,3.9,0,0,0,False,80,5,2,False
